Membrane name;Mixture;Temperature, oC;Composition (component 1), wt;Partial flux MeOH (component 1) kg/m2*h;Partial flux MTBE (component) kg/m2*h;Permeance MeOH (Component 1) Optional, kg/m2*h*kPa;Permeance MTBE (Component 2) Optional, kg/m2*h*kPa;Comment
PAI asymmetric;meoh_mtbe;60;0,1500;1,937;0,071;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,1400;1,884;0,072;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,1300;1,827;0,073;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,1200;1,765;0,074;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,1100;1,696;0,075;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,1000;1,621;0,076;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,0900;1,538;0,078;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,0800;1,445;0,079;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,0700;1,341;0,080;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,0600;1,223;0,082;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,0500;1,088;0,083;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,0400;0,934;0,085;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,0300;0,755;0,086;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,0200;0,546;0,088;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,0100;0,297;0,091;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;60;0,0000;0,000;0,093;;;Modelled Ideal
