Membrane name;Mixture;Temperature.оС;Composition (component 1). weight;Partial flux сomponent 1. kg/m2*h;Partial flux сomponent 2. kg/m2*h;Permeance сomponent 1. Optional. kg/m2*h*kPa;Permeance сomponent 2. Optional. kg/m2*h*kPa;Comment
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.1500;1.858;0.178;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.1400;1.809;0.180;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.1300;1.755;0.182;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.1200;1.696;0.185;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.1100;1.631;0.187;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.1000;1.560;0.190;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.0900;1.481;0.193;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.0800;1.393;0.196;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.0700;1.294;0.199;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.0600;1.182;0.203;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.0500;1.054;0.207;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.0400;0.906;0.211;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.0300;0.734;0.215;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.0200;0.531;0.220;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.0100;0.290;0.225;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;50;0.0000;0.000;0.231;;;Modelled ideal
