Membrane name;Mixture;Temperature.оС;Composition (component 1). weight;Partial flux сomponent 1. kg/m2*h;Partial flux сomponent 2. kg/m2*h;Permeance сomponent 1. Optional. kg/m2*h*kPa;Permeance сomponent 2. Optional. kg/m2*h*kPa;Comment
Romakon PM102;h2o_etoh;40;0.92;0.45280;0.00023;0.01911;0.00002;Experimental Non-ideal
Romakon PM102;h2o_etoh;40;0.84;0.37915;0.00019;0.01648;0.00001;Experimental Non-ideal
Romakon PM102;h2o_etoh;40;0.73;0.31210;0.00016;0.01391;0.00001;Experimental Non-ideal
Romakon PM102;h2o_etoh;40;0.65;0.42855;0.00129;0.01945;0.00005;Experimental Non-ideal
Romakon PM102;h2o_etoh;40;0.54;0.43126;0.00880;0.02006;0.00030;Experimental Non-ideal
Romakon PM102;h2o_etoh;40;0.45;0.48233;0.01237;0.02300;0.00040;Experimental Non-ideal
Romakon PM102;h2o_etoh;40;0.05;0.10118;0.05448;0.01556;0.00104;Experimental Non-ideal
