Membrane name;Mixture;Temperature.оС;Composition (component 1). weight;Partial flux сomponent 1. kg/m2*h;Partial flux сomponent 2. kg/m2*h;Permeance сomponent 1. Optional. kg/m2*h*kPa;Permeance сomponent 2. Optional. kg/m2*h*kPa;Comment
PAI asymmetric;meoh_mtbe;40;0.1500;0.671;0.128;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.1400;0.654;0.129;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.1300;0.635;0.131;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.1200;0.614;0.133;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.1100;0.591;0.134;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.1000;0.566;0.136;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.0900;0.538;0.138;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.0800;0.506;0.140;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.0700;0.471;0.143;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.0600;0.430;0.145;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.0500;0.384;0.148;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.0400;0.331;0.151;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.0300;0.269;0.154;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.0200;0.195;0.157;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.0100;0.107;0.161;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;40;0.0000;0.000;0.165;;;Modelled Ideal
